TITLE,FILE NAME,URL,TYPE OF RESOURCE,FORM,EXTENT,IMPRINT,ISSUANCE,LANGUAGE,MAP DATA,ASSOCIATED WITH,SUBJECT,GENRE,NOTE,RELATED ITEM,STATEMENT OF RESPONSIBILITY,OCLC,ALTERNATIVE TITLE,APPEARS IN,PUBLISHER,LOCATION,LCCN,ADDITIONAL PHYSICAL FORM,MANUFACTURER,ONLINE VERSION,UNIFORM TITLE,CARTOGRAPHER,LITHOGRAPHER,CONTAINS,LOCAL NOTE,ISSUING BODY,REPRODUCTION,DISTRIBUTOR
Rice production & trade in the Far East : 1936-1939 average,gt439yc8949,https://purl.stanford.edu/gt439yc8949,Cartographic;,map;unmediated;sheet;,1 map and 1 chart on 2 sheets : color ; sheets 43.5 x 28 cm.;,"[Place of publication not identified] : Department of State, Office of the Geographer, 1943;",monographic;,English;,"Scale [approximately 1:29,145,600] ; (E 61°10'00""--E 145°38'00""/N 50°25'00""--S 13°37'00"").;","United States, Department of State., Office of the Geographer.;",Rice > Commerce > Asia > Maps > Nineteen forties;Asia > Commerce > Maps > Nineteen forties;,Map;Government publication;Cartographic image;Maps;,"Map sheet includes legend.;Chart sheet shows imports and exports for various Asian countries, Europe, Africa, and America; with rice production statistics at bottom, and color legends.;""Rice Trade Chart to accompany Far East Series Map 15."";","Department of State publication. Far East Series, Map 15;Department of State publication, Map 15 Far East Series;",,,"Rice trade : 1936-1939 average, in thousands of metric tons;",,,,,,,,,,,,,,,
River transportation in the Amazon Basin,pz730mq5960,https://purl.stanford.edu/pz730mq5960,Cartographic;,map;unmediated;sheet;,1 map ; 29 x 30 cm;,"[Washington, D.C.] : OSS Repro Section, 1943;",monographic;,English;,"Scale [ca. 1:12,000,000] ; (W 80°--W 46°/N 10°--S 20°).;","United States, Office of Strategic Services., Research and Analysis Branch.;",Nautical charts > Brazil > Amazon Basin;Nautical charts;Amazon River Watershed > Maps;Amazon River Watershed;,Map;Government publication;Cartographic image;Nautical charts.;Maps;Nautical charts.;,"""Map no. 1268."";""Restricted."";",,"compiled and drawn in the Branch of Research and Analysis, OSS.;",,,,,,,,,,,,,,,,,
Roads and communications of Sinkiang,vt769yn5310,https://purl.stanford.edu/vt769yn5310,Cartographic;,map;unmediated;sheet;,1 map ; 29 x 32 cm;,"[Washington, D.C.?] : Geography Division, O.S.S, 1943;",monographic;,English;,"Scale approximately 1:7,000,000.;","United States, Office of Strategic Services., Geography Division.;",Communication > China > Xinjiang Uygur Zizhiqu > Maps;Communication;Xinjiang Uygur Zizhiqu (China) > Maps;China > Xinjiang Uygur Zizhiqu;,Map;Government publication;Cartographic image;Road maps.;Maps.;Road maps.;,"""Map no. 726."";",,,,,,,,,,,,,,,,,,,
"San José and environs, Guatemala",my958zr9065,https://purl.stanford.edu/my958zr9065,Cartographic;,map;,1 map ; 57 x 26 cm.;,"Provisional ed. - [United States?] : Reproduced in the Reproduction Section, OSS, [1943];",monographic;,English;,"Scale [ca. 1:6,800];","United States, Office of Strategic Services., Research and Analysis Branch.;",Puerto San José (Guatemala) > Maps;,Map;,"""Map no 2176, 9 Mar 1943."";",,"compiled from aerial photographs ; compiled and drawn in the Branch of Research and Analysis, OSS.;",,,,,,,,,,,,,,,,,
Sarajevo,ws744mb3238,https://purl.stanford.edu/ws744mb3238,Cartographic;,,1 map.;,"Provisional ed. - [Washington, DC] : R & A, OSS, 1943;",monographic;,English;,"Scale [ca. 1:16,666];","United States, Office of Strategic Services., Research and Analysis Branch.;",,Map;,"Map No. 2772, 20 November 1943.;",,,,,,,,,,,,,,,,,,,
Sardinia : distribution of dialects,hp530sj6624,https://purl.stanford.edu/hp530sj6624,Cartographic;,map;unmediated;sheet;,1 map ; 22 x 12 cm;,"[Washington, D.C.] : OSS Repro. Section, 1943;",monographic;,English;,"Scale [ca. 1:1,340,000] ; (E 8°00ʹ--E 10°00ʹ/N 41°30ʹ--N 38°45ʹ).;","United States, Office of Strategic Services., Research and Analysis Branch.;",Italian language > Dialects > Italy > Sardinia > Maps;Italian language > Dialects;Language and languages;Sardinia (Italy) > Languages > Maps;Italy > Sardinia;,Map;Cartographic image-cri;Maps.;,"Shows regions of 9 dialects.;""January 15, 1943."";""Map no. 1973."";",,"Research and Analysis, OSS.;",,,,,,,,,,,,,,,,,
Sardinia : [roads],kx950rj9361,https://purl.stanford.edu/kx950rj9361,Cartographic;,map;unmediated;sheet;,1 map : color ; on sheet 33 x 25 cm.;,"Provisional ed. - [Washington, D.C.?] : Printed in Reproduction Branch, OSS, 1943;",monographic;,English;,"Scale [ca. 1:1,050,000] ; (E 8°00ʹ--E 10°00ʹ/N 41°30ʹ--N 38°45ʹ).;","United States, Office of Strategic Services., Research and Analysis Branch.;",Roads > Italy > Sardinia > Maps;Roads;Italy > Sardinia;,Map;Cartographic image-cri;Maps.;,"""8 June 1943."";Relief shown by shading.;",Map ; no. 2397;,"compiled and drawn in the Branch of Research and Analysis, OSS.;",36371670;,,,,,,,,,,,,,,,,
Sardinia : [shaded relief],bc518hv7478,https://purl.stanford.edu/bc518hv7478,Cartographic;,map;unmediated;sheet;,1 map ; 25 x 17 cm;,"[Washington, D.C.?] : Reproduced in the Reproduction Section, OSS, 1943;",monographic;,English;,"Scale [ca. 1:1,200,000] ; (E 8°00ʹ--E 10°00ʹ/N 41°30ʹ--N 38°45ʹ).;","United States, Office of Strategic Services., Research and Analysis Branch.;United States, Office of Strategic Services., Reproduction Section.;",Sardinia (Italy) > Maps;Italy > Sardinia;,Map;Cartographic image-cri;Physical maps.;Maps.;Physical maps.;,"Relief shown by shading.;""15 May 1943."";""Base map no. 2368 (Free)."";",,"Branch of Research and Analysis, OSS.;",,,,,,,,,,,,,,,,,
Scandinavia : transportation,vk118nz1729,https://purl.stanford.edu/vk118nz1729,Cartographic;,,1 map.;,"Provisional ed. - [Washington, DC] : R & A, OSS, 1943;",monographic;,English;,"Scale [ca. 1:3,801,600];","United States, Office of Strategic Services., Research and Analysis Branch.;",,Map;,"Map No. 2639, 10 September 1943.;",,,,,,,,,,,,,,,,,,,
S.E. France: fisheries,vn310kv0743,https://purl.stanford.edu/vn310kv0743,Cartographic;,map;unmediated;sheet;,1 map : color ; 15 x 28 cm;,"Provisional ed. - [Washington] : Reproduction Section, OSS, [1943];",monographic;,English;,"Scale [ca. 1:1,780,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;",Fisheries > France > Maps;Fisheries;France;,Map;Cartographic image-cri;Maps.;,"""Map no. 2296."";""6 May 1943."";",,"compiled and drawn in the Branch of Research and Analysis, OSS.;",,,,,,,,,,,,,,,,,
Sibenik,jx378sr6849,https://purl.stanford.edu/jx378sr6849,Cartographic;,electronic resource;remote;map;unmediated;sheet;,1 map : color ; 10 x 13 cm on sheet 27 x 21 cm;,"Provisional ed. - [Washington, D.C.] : Lithographed in the Reproduction Branch, OSS, 1943;",monographic;,In Italian; index in Italian and English.;,"Scale [ca. 1:8,400] ; (E 15°53ʹ40ʺ/N 43°44ʹ00ʺ).;","United States, Office of Strategic Services., Research and Analysis Branch.;United States, Office of Strategic Services., Reproduction Branch.;",Sibenik (Yugoslavia) > Maps;Šibenik (Croatia) > Maps;,Map;Cartographic image-cri;,"Dated: 10 November 1943.;Includes index.;""Map no. 2774."";",,,12758917;,,,,electronic resource;,,Also available on the Internet through the American Geographical Society Library Digital Map Collection.;,,,,,,,,,,
Sicily,gq550sn2548,https://purl.stanford.edu/gq550sn2548,Cartographic;,map;,1 map : col. ; 34 x 39 cm.;,"Provisional ed. - [Washington, D.C.] : OSS, 1943;",monographic;,English;,"Scale [ca. 1:1,500,000];","United States, Office of Strategic Services., Research and Analysis Branch.;",Sicily (Italy) > Remote-sensing maps;,Map;,"Relief indicated by shading.;""Map no. 2414."";Dated: 11 June 1943.;",,"compiled and drawn in the Branch of Research and Analysis, OSS.;",,,,,,,,,,,,,,,,,
Sicily,rm770cc5435,https://purl.stanford.edu/rm770cc5435,Cartographic;,,1 map.;,"Provisional ed. - [Washington, DC] : R & A, OSS, 1943;",monographic;,English;,"Scale [ca. 1:1,900,800];","United States, Office of Strategic Services., Research and Analysis Branch.;",,Map;,"Map No. 2492.;Shows landing grounds, seaplane bases, railroads, and towns occupied by Allies as of July 12, 943.;",,,,,,,,,,,,,,,,,,,
Sicily provinces,mc017xw9128,https://purl.stanford.edu/mc017xw9128,Cartographic;,map;unmediated;sheet;,1 map ; 16 x 29 cm;,"[Washington, D.C.] : OSS, 1943;",monographic;,English;,"Scale [ca. 1:1,267,200] ; (E 12°00ʹ--E 15°45ʹ/N 38°20ʹ--N 36°35ʹ).;","United States, Office of Strategic Services., Research and Analysis Branch.;",Administrative and political divisions;Sicily (Italy) > Administrative and political divisions > Maps;Italy > Sicily;,Map;Cartographic image-cri;Maps.;,"""January 19, 1943."";""Map no. 1471."";",,,,,,,,,,,,,,,,,,,
Sicily : schematic telecommunications,zh247xj2622,https://purl.stanford.edu/zh247xj2622,Cartographic;,,map. 32 x 50 cm.;,"Provisional ed. - [Washington], 1943;",monographic;,English;,,"United States, Office of Strategic Services., Research and Analysis Branch.;",Telecommunication > Italy > Sicily > Maps;,Map;,"""Map no. 2166."";Graphic scale.;",,,,,,,,,,,,,,,,,,,
"[Sicily, shaded relief map]",zx329yt3476,https://purl.stanford.edu/zx329yt3476,Cartographic;,map;unmediated;sheet;,1 map ; 18 x 23 cm;,"[Washington, D.C.] : OSS, [1943];",monographic;,English;,Scale not given ; (E 11°55ʹ--E 15°45ʹ/N 38°50ʹ--N 36°35ʹ).;,"United States, Office of Strategic Services., Research and Analysis Branch.;",Sicily (Italy) > Maps;Italy > Sicily;,Map;Cartographic image-cri;Physical maps.;Maps.;Physical maps.;,"Relief shown by shading.;""Base map no. 2463."";""1 July 1943."";",,"drawn and compiled in Research and Analysis Branch, OSS.;",44555885;,[Sicily];,,,,,,,,,,,,,,,
"Sierra Leone, roads and railroads",wc279hs0779,https://purl.stanford.edu/wc279hs0779,Cartographic;,map;,1 map ; 28 x 33 cm.;,"Provisional ed. - [Washington, D.C.] : OSS, [1943];",monographic;,English;,"Scale [ca. 1:1,250,000] ; (W 14⁰--W 10⁰/N 10⁰--N 7⁰).;","United States, Office of Strategic Services., Research and Analysis Branch.;",Roads > Sierra Leone > Maps;Railroads > Sierra Leone > Maps;,Map;,"""January 27, 1943."";""Printed by the O.S.S. Repro. Section."";Issued as a restricted document.;""Map no. 1428."";",,"compiled and drawn in the Branch of Research and Analysis, OSS.;",,,,,,97680033;,,,,,,,,,,,
"Sketch map of Japanese colonies in the vicinity of Cali, Colombia",ry134mh5689,https://purl.stanford.edu/ry134mh5689,Cartographic;,map;,"1 map ; 17 x 17 cm., on sheet 32 x 24 cm.;","Provisional ed. - [Washington, D.C.] : Printed by the OSS Repro. Section, 1943;",monographic;,English;,"Scale [ca. 1:330,000];","United States, Office of Strategic Services., Research and Analysis Branch;",Immigrants > Colombia > Cali > Maps;,Map;,"""Map. No. 1468."";""Restricted."";",,"compiled and drawn in the Branch of Research and Analysis, OSS.;",,,,,,,,,,,,,,,,,
"South Africa, highways",xx128pp2984,https://purl.stanford.edu/xx128pp2984,Cartographic;,map;,1 map ; 32 x 41 cm.;,"Prov. ed. (1st rev. Feb. 20, 1943) - [Washington, D.C.] : OSS, 1943;",monographic;,English;,"Scale [ca. 1:5,068,800] ; (E 15-̊-E 33/̊S 22-̊-S 35)̊;","United States, Office of Strategic Services., Geographic Division.;",Roads > South Africa > Maps;,Map;,"Inset map: Southern Africa. Scale [ca. 1:29,000,000];""Map no. 704. July 28, 1942."";",,"drawn in Geography Division, O.S.S.;",,,,,,,,,,,,,,,,,
"South America, location of non-metallic mines and prospects",tg670bq6906,https://purl.stanford.edu/tg670bq6906,Cartographic;,cartographic material;map;,1 map ; 63 x 45 cm;,"Provisional ed. - [Washington, D.C.] : Reproduced in OSS, 1943;",monographic;,English;,"Scale [ca. 1:12,000,000] ; (W 85°--W 30°/N 13°--S 56°).;","United States, Office of Strategic Services., Research and Analysis Branch.;United States, Board of Economic Warfare.;",Mines and mineral resources > South America > Maps;Mines and mineral resources;South America > Maps;South America;,Map;Maps;,"""Confidential."";""Map No. 1391."";",,"Board of Economic Warfare, Office of Imports ; drawn in R and A, OSS.;",,Location of non-metallic mines & prospects;,,,,,,,,,,,,,,,
[South China],kn726hj1843,https://purl.stanford.edu/kn726hj1843,Cartographic;,map;unmediated;sheet;,1 map ; 18 x 24 cm;,"[Washington, D.C.] : Lithographed in the Reproduction Branch, OSS, 1943;",monographic;,English;,"Scale [ca. 1:7,500,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;",China > Maps;China;,Map;Cartographic image-cri;Physical maps.;Maps.;Physical maps.;,"Relief shown by shading.;Title supplied by cataloger.;""24 June 1943."";""Map No. 2437."";Covers an area from the Yangtze River/I-ch'ang/Shanghai in the north to Hanoi/Haiphong in the south and from Chengtu in the west to Wenchow in the east.;",,"compiled and drawn in the Branch of Research and Analysis, OSS.;",,,,,,,,,,,,,,,,,
Southern France,vz983xg8780,https://purl.stanford.edu/vz983xg8780,Cartographic;,,1 map ; 29 x 40 cm.;,"[Washington] : OSS, 1943;",monographic;,English;,"Scale [ca. 1:2,000,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;","France > Maps, Physical;France > Maps, Outline and base;",Map;,"Relief shown by shading.;""Base map No. 2335."";""May 1943."";",,"R & A, OSS.;",,,,,,,,,,,,,,,,,
Southern France : mean temperature and precipitation at selected stations,jx320jx2525,https://purl.stanford.edu/jx320jx2525,Cartographic;,map;,1 map ; 29 x 37 cm.;,"Provisional ed. - [Washington, D.C.] : OSS, 1943;",monographic;,English;,"Scale [ca. 1:2,200,000];","United States, Office of Strategic Services., Research and Analysis Branch.;",France > Climate > Maps;,Map;,"Dated: 19 April 1943.;""Map no. 2282."";",,"compiled and drawn in the Branch of Research and Analysis, OSS.;",,,,,,,,,,,,,,,,,
[Southern Italy],br780yv6642,https://purl.stanford.edu/br780yv6642,Cartographic;,map;unmediated;sheet;,1 map ; 23 x 18 cm;,"District of Columbia, 1943;",monographic;,English;,"Scale approximately 1:2,253,082.;","United States, Office of Strategic Services., Research and Analysis Branch.;","Italy, Southern > Maps;Sicily (Italy) > Maps;Italy > Sicily;Italy, Southern;",Map;Cartographic image-cri;Outline maps.;Outline maps.;Maps.;,"Relief shown by shading.;Title devised by cataloger.;""Base map no. 2448 ... 1 July 1943."";",,"drawn and compiled in Research and Analysis Branch, OSS.;",,,,"[Washington, D.C.] : OSS, [1943];",,,,,,,,,,,,,
Southern Italy : food processing plants,ck156mr7841,https://purl.stanford.edu/ck156mr7841,Cartographic;,,1 map.;,"Provisional ed. - [Washington, DC] : R & A, OSS, 1943;",monographic;,English;,"Scale [ca. 1:1,710,720];","United States, Office of Strategic Services., Research and Analysis Branch.;",,Map;,Map No. 2475.;,,,,,,,,,,,,,,,,,,,
"Southern Italy, mean surface temperature, January and July",qs206mr4332,https://purl.stanford.edu/qs206mr4332,Cartographic;,electronic resource;remote;map;unmediated;sheet;,"2 maps on 1 sheet ; 13 x 16 cm, sheet 32 x 22 cm.;","Provisional ed. - [Washington, D.C.?] : Reproduction Branch, OSS, 1943;",monographic;,English;,"Scale [ca. 1:4,000,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;","Atmospheric temperature > Italy, Southern > Maps;Atmospheric temperature;Italy, Southern;",Map;Cartographic image-cri;Maps.;,"""Map no. 2502."";""4 August 1943."";",Map ; no. 2502;,"drawn in the Branch of Research and Analysis, OSS.;",36682863;,,,,electronic resource;,,Also available on the Internet through the American Geographical Society Library Digital Map Collection.;,,,,,,,,,,
Southern Italy physical regions and terrain types,tk482sm0420,https://purl.stanford.edu/tk482sm0420,Cartographic;,map;unmediated;sheet;,1 map : color ; 29 x 25 cm;,"[Washington, D.C.] : OSS, 1943;",monographic;,English;,"Scale [ca. 1:1,700,000] ; (E 13°30ʹ--E 18°30ʹ/N 42°00ʹ--N 37°50ʹ).;","United States, Office of Strategic Services., Research and Analysis Branch.;","Physical geography > Italy, Southern > Maps;Physical geography;Italy, Southern;",Map;Cartographic image-cri;Maps.;,"""5 August 1943."";""Map no. 2526."";",,compiled and drawn in the Branch of Research and Analysis.;,,,,,,,,,,,,,,,,,
Spain : the nine supply zones for food distribution,sn172kc3357,https://purl.stanford.edu/sn172kc3357,Cartographic;,electronic resource;remote;map;unmediated;sheet;,1 map ; 15 x 23 cm;,"[Washington, D.C.] : OSS, 1943;",monographic;,English;,"Scale [ca. 1:6,336,000] ; (W 10°--E 5°/N 44°--N 36°).;","United States, Office of Strategic Services., Research and Analysis Branch.;","World War (1939-1945);1939-1945;Food supply > Spain > Maps;World War, 1939-1945 > Food supply > Spain > Maps;Administrative and political divisions;Food supply;Spain > Administrative and political divisions > Maps;Spain;",Map;Cartographic image-cri;Maps.;,"Dated: 22 February 1943.;""Map no. 2185."";",,"compiled and drawn in the Branch of Research and Analysis, OSS.;",11901526;,,,,electronic resource;,,Also available on the Internet through the American Geographical Society Library Digital Map Collection.;,,,,,,,,,,
Spratly and other islands,wy462kx5107,https://purl.stanford.edu/wy462kx5107,Cartographic;,map;unmediated;sheet;,1 map : color ; sheet 26.5 x 43 cm.;,"[Washington D.C.] : Department of State, Division of Geography and Cartography, 1943;",monographic;,English;,"Scale 1:3,149,606 ; (E 109°59'00""--E 119°04'00""/N 12°42'00""--N 5°59'00"").;","United States, Department of State., Division of Geography and Cartography.;","World War, 1939-1945 > East Asia > Spratly Islands > Maps > Nineteen forties;Sovereignty > East Asia > Spratly Islands > Maps > Nineteen forties;Spratly Islands > Maps > Nineteen forties;",Map;Government publication;Cartographic image;Maps;,"Legend of 1898 and 1939 boundaries.;Inset location map.;""1132E."";","Department of State publication. Far East Series, Map 19;Department of State publication. Map 19 Far East Series;",,,,,,,,,,,,,,,,,,
Sumatra: transportation,df944ph2639,https://purl.stanford.edu/df944ph2639,Cartographic;,cartographic material;map;unmediated;sheet;,11 maps : color ; 58 x 52 cm or smaller;,"Provisional ed. - [Washington, D.C.] : Reproduction Branch, OSS, 1943-1944;",monographic;,English;,"Scale [ca. 1:280,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;",Transportation > Indonesia > Sumatra > Maps;Transportation;Indonesia > Sumatra;,Map;Cartographic image-cri;Maps;,Each sheet contains regional map.;Map no. 2853-2863.;Some sheets are 1st revision.;,,"compiled and drawn in the Branch of Research and Analysis, OSS.;",,,,,,,,,,,,,,,,,
Sumatra: transportation,nx741pg2256,https://purl.stanford.edu/nx741pg2256,Cartographic;,cartographic material;map;unmediated;sheet;,11 maps : color ; 58 x 52 cm or smaller;,"Provisional ed. - [Washington, D.C.] : Reproduction Branch, OSS, 1943-1944;",monographic;,English;,"Scale [ca. 1:280,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;",Transportation > Indonesia > Sumatra > Maps;Transportation;Indonesia > Sumatra;,Map;Cartographic image-cri;Maps;,Each sheet contains regional map.;Map no. 2853-2863.;Some sheets are 1st revision.;,,"compiled and drawn in the Branch of Research and Analysis, OSS.;",,,,,,,,,,,,,,,,,
Sumatra: transportation,kz428xj8750,https://purl.stanford.edu/kz428xj8750,Cartographic;,cartographic material;map;unmediated;sheet;,11 maps : color ; 58 x 52 cm or smaller;,"Provisional ed. - [Washington, D.C.] : Reproduction Branch, OSS, 1943-1944;",monographic;,English;,"Scale [ca. 1:280,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;",Transportation > Indonesia > Sumatra > Maps;Transportation;Indonesia > Sumatra;,Map;Cartographic image-cri;Maps;,Each sheet contains regional map.;Map no. 2853-2863.;Some sheets are 1st revision.;,,"compiled and drawn in the Branch of Research and Analysis, OSS.;",,,,,,,,,,,,,,,,,
Sumatra: transportation,kx165zx0060,https://purl.stanford.edu/kx165zx0060,Cartographic;,cartographic material;map;unmediated;sheet;,11 maps : color ; 58 x 52 cm or smaller;,"Provisional ed. - [Washington, D.C.] : Reproduction Branch, OSS, 1943-1944;",monographic;,English;,"Scale [ca. 1:280,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;",Transportation > Indonesia > Sumatra > Maps;Transportation;Indonesia > Sumatra;,Map;Cartographic image-cri;Maps;,Each sheet contains regional map.;Map no. 2853-2863.;Some sheets are 1st revision.;,,"compiled and drawn in the Branch of Research and Analysis, OSS.;",,,,,,,,,,,,,,,,,
Sumatra: transportation,kb421mr2608,https://purl.stanford.edu/kb421mr2608,Cartographic;,cartographic material;map;unmediated;sheet;,11 maps : color ; 58 x 52 cm or smaller;,"Provisional ed. - [Washington, D.C.] : Reproduction Branch, OSS, 1943-1944;",monographic;,English;,"Scale [ca. 1:280,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;",Transportation > Indonesia > Sumatra > Maps;Transportation;Indonesia > Sumatra;,Map;Cartographic image-cri;Maps;,Each sheet contains regional map.;Map no. 2853-2863.;Some sheets are 1st revision.;,,"compiled and drawn in the Branch of Research and Analysis, OSS.;",,,,,,,,,,,,,,,,,
Sumatra: transportation,tz521rj6232,https://purl.stanford.edu/tz521rj6232,Cartographic;,cartographic material;map;unmediated;sheet;,11 maps : color ; 58 x 52 cm or smaller;,"Provisional ed. - [Washington, D.C.] : Reproduction Branch, OSS, 1943-1944;",monographic;,English;,"Scale [ca. 1:280,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;",Transportation > Indonesia > Sumatra > Maps;Transportation;Indonesia > Sumatra;,Map;Cartographic image-cri;Maps;,Each sheet contains regional map.;Map no. 2853-2863.;Some sheets are 1st revision.;,,"compiled and drawn in the Branch of Research and Analysis, OSS.;",,,,,,,,,,,,,,,,,
Sumatra: transportation,xx271yp7619,https://purl.stanford.edu/xx271yp7619,Cartographic;,cartographic material;map;unmediated;sheet;,11 maps : color ; 58 x 52 cm or smaller;,"Provisional ed. - [Washington, D.C.] : Reproduction Branch, OSS, 1943-1944;",monographic;,English;,"Scale [ca. 1:280,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;",Transportation > Indonesia > Sumatra > Maps;Transportation;Indonesia > Sumatra;,Map;Cartographic image-cri;Maps;,Each sheet contains regional map.;Map no. 2853-2863.;Some sheets are 1st revision.;,,"compiled and drawn in the Branch of Research and Analysis, OSS.;",,,,,,,,,,,,,,,,,
Sumatra: transportation,zs679bp2117,https://purl.stanford.edu/zs679bp2117,Cartographic;,cartographic material;map;unmediated;sheet;,11 maps : color ; 58 x 52 cm or smaller;,"Provisional ed. - [Washington, D.C.] : Reproduction Branch, OSS, 1943-1944;",monographic;,English;,"Scale [ca. 1:280,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;",Transportation > Indonesia > Sumatra > Maps;Transportation;Indonesia > Sumatra;,Map;Cartographic image-cri;Maps;,Each sheet contains regional map.;Map no. 2853-2863.;Some sheets are 1st revision.;,,"compiled and drawn in the Branch of Research and Analysis, OSS.;",,,,,,,,,,,,,,,,,
Sumatra: transportation,tq327hw9855,https://purl.stanford.edu/tq327hw9855,Cartographic;,cartographic material;map;unmediated;sheet;,11 maps : color ; 58 x 52 cm or smaller;,"Provisional ed. - [Washington, D.C.] : Reproduction Branch, OSS, 1943-1944;",monographic;,English;,"Scale [ca. 1:280,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;",Transportation > Indonesia > Sumatra > Maps;Transportation;Indonesia > Sumatra;,Map;Cartographic image-cri;Maps;,Each sheet contains regional map.;Map no. 2853-2863.;Some sheets are 1st revision.;,,"compiled and drawn in the Branch of Research and Analysis, OSS.;",,,,,,,,,,,,,,,,,
Sumatra: transportation,ks356hf8651,https://purl.stanford.edu/ks356hf8651,Cartographic;,cartographic material;map;unmediated;sheet;,11 maps : color ; 58 x 52 cm or smaller;,"Provisional ed. - [Washington, D.C.] : Reproduction Branch, OSS, 1943-1944;",monographic;,English;,"Scale [ca. 1:280,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;",Transportation > Indonesia > Sumatra > Maps;Transportation;Indonesia > Sumatra;,Map;Cartographic image-cri;Maps;,Each sheet contains regional map.;Map no. 2853-2863.;Some sheets are 1st revision.;,,"compiled and drawn in the Branch of Research and Analysis, OSS.;",,,,,,,,,,,,,,,,,
Sumatra: transportation,pt000pz5049,https://purl.stanford.edu/pt000pz5049,Cartographic;,cartographic material;map;unmediated;sheet;,11 maps : color ; 58 x 52 cm or smaller;,"Provisional ed. - [Washington, D.C.] : Reproduction Branch, OSS, 1943-1944;",monographic;,English;,"Scale [ca. 1:280,000].;","United States, Office of Strategic Services., Research and Analysis Branch.;",Transportation > Indonesia > Sumatra > Maps;Transportation;Indonesia > Sumatra;,Map;Cartographic image-cri;Maps;,Each sheet contains regional map.;Map no. 2853-2863.;Some sheets are 1st revision.;,,"compiled and drawn in the Branch of Research and Analysis, OSS.;",,,,,,,,,,,,,,,,,
Sumatra: vegetation,yb410rs9617,https://purl.stanford.edu/yb410rs9617,Cartographic;,,1 map : col. ; 30 x 33 cm.;,"Provisional ed. - [Washington, D.C.?] : Reproduction Branch, OSS, 1943;",monographic;,English;,"Scale [ca. 1:5,400,000];","United States, Office of Strategic Services., Research and Analysis Branch.;",Phytogeography > Indonesia > Sumatra > Maps;,Map;,"Shows vegetation cover by category: forest, grassland, secondary growth, cultivated land, and mangrove.;""Map no. 2204."";",,"compiled and drawn in the Branch of Research and Analysis, OSS.;",,,,,,,,,,,,,,,,,
Szechuan Province,dh051dx9796,https://purl.stanford.edu/dh051dx9796,Cartographic;,map;unmediated;sheet;,1 map ; 16 x 19 cm;,"[Washington, D.C.?] : [OSS], 1943;",monographic;,English;,"Scale [ca. 1:4,600,000].;","United States, Board of Economic Warfare.;United States, Office of Strategic Services., Research and Analysis Branch.;",Sichuan Sheng (China) > Maps;China > Sichuan Sheng;,Map;Government publication;Cartographic image;Maps;,"""Map no. 1366."";",,"Board of Economic Warfare ; drawn in R. and A., OSS.;",,,,,,,,,,,,,,,,,
Taranto wind flow diagrams,hg510xh7182,https://purl.stanford.edu/hg510xh7182,Cartographic;,map;diagram;unmediated;sheet;,2 maps on 1 sheet ; sheet 32 x 22 cm;,"Provisional ed. - [Washington, D.C.] : Lithographed in the Reproduction Branch, 1943;",monographic;,English;,,"United States, Office of Strategic Services., Research and Analysis Branch.;","Winds > Italy > Taranto > Charts, diagrams, etc;Climatology;Winds;Taranto (Italy) > Climate > Charts, diagrams, etc;Italy > Taranto;","Map;Cartographic image-cri;Charts, diagrams, etc.;","""No. 2489."";""3 August 1943."";",,"compiled and drawn in the Branch of Research and Analysis, OSS.;",,,,,,,,,,,,,,,,,
Terrain and transportation : Scandinavia,mm996sk1870,https://purl.stanford.edu/mm996sk1870,Cartographic;,cartographic material;map;,1 map : col. ; 57 x 40 cm;,"Provisional ed. - [Washington, D.C.] : Lithographed in the Reproduction Branch, OSS, [1943];",monographic;,English;,"Scale [ca. 1:3,2600,000] - [ca. 1:3,600,000] ; (E 4°--E 32°/N 72°--N 54°).;","United States, Office of Strategic Services., Research and Analysis Branch.;",Transportation > Scandinavia > Maps;Railroads > Scandinavia > Maps;Roads > Scandinavia > Maps;Railroads;Roads;Transportation;Scandinavia > Maps;Scandinavia;,Map;Physical maps;Maps;,"Relief shown by shading.;""Scale correct as shown at selected parallels,"" bar scales are given at latitudes 56°N, 62°N, and 68°N.;""National capitals and boundaries as of 1938."";""The broad gauge railroads of Estonia, Latvia, and Lithuania have been converted to standard under German occupation."";""20 July 1943."";""Map no. 2420."";""Reliability Code: 00-1A-2."";",,"compiled and drawn in the Branch of Research and Analysis, OSS.;",,Scandinavia terrain and transportation;,,,,,,,,,,,,,,,
